seed,dataset,feature,model,distillation_method,n_distill_steps,alpha,real_mse,transfer_mse,acf_short,acf_long,fft_distance,trend_error,variance_diff,freq_rank_error,peak_mag_ratio,cross_corr_error
42,ETTh1,1,CNN,MTT,300,0.5,0.3807109834068176,0.4803442458245472,0.2934013569654257,0.1693083330288078,0.1085031061053656,1.7943053722652924,0.6946204304695129,0.0,0.0390765579284367,0.2815244998580694
42,ETTh1,2,CNN,MTT,300,0.5,0.3807109834068176,0.4803442458245472,0.3599338197060175,0.1840392311281403,0.1650250701085888,0.7665883625050864,0.2627725601196289,0.0,0.2477484833663283,0.2815244998580694
42,ETTh1,3,CNN,MTT,300,0.5,0.3807109834068176,0.4803442458245472,0.2124412198893513,0.1145365077839172,0.1264051684719901,1.5081269951231842,0.7270386815071106,0.0,0.0082963954451523,0.2815244998580694
42,ETTh1,4,CNN,MTT,300,0.5,0.3807109834068176,0.4803442458245472,0.0631391260258762,0.0470699668466474,0.2044378602461365,0.612259893726817,0.3765047192573547,8.0,0.1514944450823928,0.2815244998580694
42,ETTh1,5,CNN,MTT,300,0.5,0.3807109834068176,0.4803442458245472,0.4595117949089822,0.272614508213138,0.1967167154009058,0.9007477405574006,0.8080357909202576,0.0,0.3866098946071163,0.2815244998580694
42,ETTh1,6,CNN,MTT,300,0.5,0.3807109834068176,0.4803442458245472,0.0428395015538028,0.1748506487030534,0.0667448163100247,2.3065615344273227,0.8714127540588379,0.0,0.0654774491375147,0.2815244998580694
42,ETTh1,0,CNN,MTT,300,0.7,0.3807109834068176,0.4896817801619754,0.318923100536201,0.1529105021344276,0.0966662540228998,0.8308311719199178,0.3670431971549988,0.0,0.14012704251499,0.2859119798443803
42,ETTh1,1,CNN,MTT,300,0.7,0.3807109834068176,0.4896817801619754,0.2538291730765826,0.1575562911018207,0.0651018756306469,1.7717343227893076,0.6991187334060669,0.0,0.023446106456952,0.2859119798443803
42,ETTh1,2,CNN,MTT,300,0.7,0.3807109834068176,0.4896817801619754,0.3485116787139437,0.177348347569403,0.0990150487960496,0.8012232613973999,0.3629605770111084,0.0,0.1486490722539771,0.2859119798443803
42,ETTh1,3,CNN,MTT,300,0.7,0.3807109834068176,0.4896817801619754,0.1898718937312994,0.1085362384015283,0.0758430576310333,1.4702795796335852,0.7451671361923218,0.0,0.0049778895781703,0.2859119798443803
42,ETTh1,4,CNN,MTT,300,0.7,0.3807109834068176,0.4896817801619754,0.0597080883670697,0.0491456468129832,0.1226627164978698,0.6679084794642206,0.400867223739624,8.0,0.0908967555910103,0.2859119798443803
42,ETTh1,5,CNN,MTT,300,0.7,0.3807109834068176,0.4896817801619754,0.3579915291671905,0.2474495001742786,0.118030025528953,0.8440971773616237,0.7998216152191162,0.0,0.2319660107898822,0.2859119798443803
42,ETTh1,6,CNN,MTT,300,0.7,0.3807109834068176,0.4896817801619754,0.0454907836554787,0.1745417659267201,0.0400468890159554,2.2880536004620766,0.8803615570068359,0.0,0.0392865734378835,0.2859119798443803
42,ETTh1,0,CNN,MTT,300,1.0,0.3807109834068176,0.5358026101750839,0.2952892152390139,0.1362861669838863,9.792853039721789e-08,0.887978123506194,0.485491931438446,0.0,2.325190189567353e-07,0.2948738886299203
42,ETTh1,1,CNN,MTT,300,1.0,0.3807109834068176,0.5358026101750839,0.1940450497728307,0.1394538897980949,1.1963526280854882e-07,1.7311309873885827,0.6979626417160034,0.0,2.193943039256089e-07,0.2948738886299203
42,ETTh1,2,CNN,MTT,300,1.0,0.3807109834068176,0.5358026101750839,0.3236389462975445,0.1617094132958686,5.401695573016564e-08,0.8455237413918452,0.4926643967628479,0.0,9.869900006193505e-09,0.2948738886299203
42,ETTh1,3,CNN,MTT,300,1.0,0.3807109834068176,0.5358026101750839,0.1572151402129676,0.0994436960646656,6.873755852128177e-08,1.412882196589294,0.7648518681526184,0.0,1.0898141448302633e-07,0.2948738886299203
42,ETTh1,4,CNN,MTT,300,1.0,0.3807109834068176,0.5358026101750839,0.0626866838362733,0.0559645717432256,7.534467332731028e-08,0.7679897888868974,0.42413991689682,0.0,3.664800275371379e-08,0.2948738886299203
42,ETTh1,5,CNN,MTT,300,1.0,0.3807109834068176,0.5358026101750839,0.2125304011442502,0.2105313262881911,4.70315724509738e-08,0.742580267161229,0.7729856967926025,0.0,1.326986459583703e-07,0.2948738886299203
42,ETTh1,6,CNN,MTT,300,1.0,0.3807109834068176,0.5358026101750839,0.0576194720765361,0.175257623642849,5.607482917530752e-08,2.254564028710933,0.8911168575286865,0.0,2.6244319297487724e-08,0.2948738886299203
123,ETTh1,0,CNN,MTT,300,0.0,0.388774066718611,0.4683117133303056,0.374518398162958,0.209964658746525,0.6146666676425213,1.3873903367389289,0.3373838663101196,0.0,0.7671608662513395,0.3066624199464817
