seed,dataset,model,distillation_method,n_distill_steps,alpha,real_mse,transfer_mse,acf_short,acf_long,fft_distance,trend_error,variance_diff,freq_rank_error,peak_mag_ratio,cross_corr_error
123,ETTm1,DLinear,MTT,300,0.0,0.3455243922457467,0.6181970161838657,0.3422713503225824,0.1122368091157642,0.4571582467653628,0.8404153043551255,0.7694653272628784,0.1428571428571428,0.3267123523490461,0.3086268338028792
123,ETTm1,DLinear,MTT,300,0.1,0.3455243922457467,0.5898489529258996,0.3441299525799811,0.1134913762885209,0.4114424196283851,0.8249922415198764,0.7696673274040222,0.1428571428571428,0.2940411331582728,0.3090200278285871
123,ETTm1,DLinear,MTT,300,0.2,0.3455243922457467,0.5602499992141652,0.3453901606685234,0.1144120655962846,0.3657265837378514,0.8070538980467205,0.7685111165046692,0.1428571428571428,0.2613699463470968,0.3086966513397683
123,ETTm1,DLinear,MTT,300,0.3,0.3455243922457467,0.5080871402008702,0.34627648789597,0.1148944358286573,0.32001075502426,0.79409389404303,0.7659967541694641,0.1428571428571428,0.2286986900427127,0.3079308598669878
123,ETTm1,DLinear,MTT,300,0.5,0.3455243922457467,0.4774557503782437,0.3471672069870241,0.1152552022097349,0.2285791190724673,0.7723571946723888,0.756893515586853,0.1428571428571428,0.1633562692288466,0.3056410468809053
123,ETTm1,DLinear,MTT,300,0.7,0.3455243922457467,0.4445260769910734,0.347708303143479,0.1153441506437565,0.1371474682209137,0.7546797386844124,0.7423573732376099,0.1428571428571428,0.0980138365885081,0.3027376415234709
123,ETTm1,DLinear,MTT,300,1.0,0.3455243922457467,0.4135971668529997,0.3488110664405112,0.1172405407106698,1.0175586435583888e-07,0.7517321817504613,0.7103670835494995,0.0,1.673844577918171e-07,0.2975313953235597
7,ETTm2,DLinear,MTT,300,0.0,0.185850384,0.345127606,0.199971573,0.16001289,0.319453512,0.66865675,0.967471182,1.428571429,0.61986646,0.351353883
7,ETTm2,DLinear,MTT,300,0.1,0.185850384,0.313043824,0.18996451,0.150109317,0.287508169,0.674967085,0.96309787,1.428571429,0.557879804,0.344050857
7,ETTm2,DLinear,MTT,300,0.2,0.185850384,0.333664909,0.181141371,0.144301975,0.25556281,0.682652113,0.957559288,1.571428571,0.495893154,0.336804142
7,ETTm2,DLinear,MTT,300,0.3,0.185850384,0.358907955,0.174621758,0.140117596,0.223617462,0.69408747,0.950855553,1.285714286,0.433906508,0.330344407
7,ETTm2,DLinear,MTT,300,0.5,0.185850384,0.356178567,0.17127566,0.133642934,0.159726772,0.728323036,0.933952332,1.285714286,0.309933194,0.320601566
7,ETTm2,DLinear,MTT,300,0.7,0.185850384,0.368674102,0.176317647,0.12861946,0.095836085,0.767102713,0.912388325,0.857142857,0.18595991,0.314923916
7,ETTm2,DLinear,MTT,300,1.0,0.185850384,0.374035277,0.182794938,0.122071171,1.18e-07,0.827955958,0.871303141,0.0,1.61e-07,0.312210632
42,ETTm2,DLinear,MTT,300,0.0,0.1853775012747774,0.2153165361281794,0.1676957894121551,0.1232708878638209,0.2707501069164283,0.25674965484297,0.9667555689811708,1.1428571428571428,0.7769928310611289,0.3046525893528438
42,ETTm2,DLinear,MTT,300,0.1,0.1853775012747774,0.2066002254639117,0.1530891428393211,0.1195338816959792,0.2436751028255887,0.260005202535799,0.9635944366455078,1.1428571428571428,0.6992935727368523,0.3229652794500346
42,ETTm2,DLinear,MTT,300,0.2,0.1853775012747774,0.2037798121502912,0.1428739954795279,0.1178267746690022,0.2166000730926921,0.2665297430474215,0.9590147137641908,1.1428571428571428,0.6215942354467761,0.3400385572264086
42,ETTm2,DLinear,MTT,300,0.3,0.1853775012747774,0.2171769580560835,0.1384861383159178,0.1188518835576315,0.1895250693592985,0.2758075926324153,0.9530159831047058,1.2857142857142858,0.5438949561902928,0.3560938817373487
42,ETTm2,DLinear,MTT,300,0.5,0.1853775012747774,0.2140602457760597,0.1472728779445852,0.1259569548640618,0.1353750358238165,0.2991371400386599,0.9367629289627076,0.8571428571428571,0.3884963745508923,0.3845356224451133
42,ETTm2,DLinear,MTT,300,0.7,0.1853775012747774,0.1950644890785316,0.1617938310997924,0.1348294459018571,0.0812250165775189,0.3267038073417629,0.9148350358009338,0.0,0.233097838321494,0.4069338003999843
42,ETTm2,DLinear,MTT,300,1.0,0.1853775012747774,0.1958080571028445,0.1801817523469318,0.1438223959789303,1.1094959364705897e-07,0.3770731570477496,0.871303141117096,0.0,1.3318441588248345e-07,0.4288940142005479
123,ETTm2,DLinear,MTT,300,0.0,0.18564707477005543,0.3747691175974172,0.1429010847859765,0.16258100623361618,0.32495223043999394,0.5295487846111537,0.7838948965072632,1.5714285714285714,0.49113175338635257,0.45332262326268014
123,ETTm2,DLinear,MTT,300,0.1,0.18564707477005543,0.3526878796754634,0.14272012275878615,0.16176661369418616,0.29245701012234404,0.5179834295339132,0.7979384064674377,1.5714285714285714,0.4420185662405582,0.4485217656294163
123,ETTm2,DLinear,MTT,300,0.2,0.18564707477005543,0.35356274334207055,0.13909820131898412,0.16103525005980104,0.25996178463103986,0.5126677081344985,0.8108035326004028,1.5714285714285714,0.3929053831520042,0.44607149713740296
123,ETTm2,DLinear,MTT,300,0.3,0.18564707477005543,0.30779604906934965,0.13461569493660017,0.1606455461243507,0.22746656790748257,0.5131939768795902,0.8224903345108032,1.5714285714285714,0.3437922106112511,0.4446002059263606
123,ETTm2,DLinear,MTT,300,0.5,0.18564707477005543,0.27376355706322525,0.1291542698810166,0.1600362158396651,0.16247613347188478,0.5316549916484814,0.8423289060592651,1.2857142857142858,0.24556583894109088,0.4416629100265626
123,ETTm2,DLinear,MTT,300,0.7,0.18564707477005543,0.2633293744540654,0.13632013217832525,0.1597872388380514,0.09748569798563309,0.5498057525728488,0.8574537038803101,1.2857142857142858,0.14733948957289478,0.4364013166199762
123,ETTm2,DLinear,MTT,300,1.0,0.18564707477005543,0.23439874618838724,0.17725433754553482,0.16064709434125996,1.1229404731302364e-07,0.5714918759908484,0.871303141117096,0.0,1.241890244998165e-07,0.42272175921320854
7,weather,DLinear,MTT,300,0.0,0.193373895,0.196710736,0.186933152,0.114833877,0.212228973,1.236244156,0.756474495,0.238095238,0.299941423,0.313906605
7,weather,DLinear,MTT,300,0.1,0.193373895,0.200728849,0.176283383,0.10876537,0.191006081,1.241076558,0.745463192,0.238095238,0.26994728,0.313022666
7,weather,DLinear,MTT,300,0.2,0.193373895,0.197174863,0.167925488,0.105328876,0.169783176,1.245460697,0.738363445,0.19047619,0.239953152,0.311455837
7,weather,DLinear,MTT,300,0.3,0.193373895,0.197055409,0.161099591,0.103486652,0.148560283,1.25128268,0.733790755,0.19047619,0.209959007,0.310092597
7,weather,DLinear,MTT,300,0.5,0.193373895,0.198351544,0.149607925,0.102292714,0.106114495,1.262143584,0.72418052,0.19047619,0.149970731,0.308485587
7,weather,DLinear,MTT,300,0.7,0.193373895,0.203713328,0.140280308,0.103161786,0.063668697,1.273638852,0.724517941,0.19047619,0.089982407,0.308639425
7,weather,DLinear,MTT,300,1.0,0.193373895,0.204591856,0.134989435,0.106707155,9.41e-08,1.29220477,0.713391244,0.0,1.33e-07,0.311635836
42,weather,DLinear,MTT,300,0.0,0.1958539927043902,0.2042491566899621,0.204166739340798,0.1574265599548867,0.2388072440897138,0.5781253984784955,0.68327397108078,0.3333333333333333,0.5047237737324023,0.3952237163327532
42,weather,DLinear,MTT,300,0.1,0.1958539927043902,0.204220255860347,0.1976567514282144,0.1530437448848158,0.214926514670649,0.5722692266414191,0.6814828515052795,0.3333333333333333,0.4542513721712834,0.3876633889348084
42,weather,DLinear,MTT,300,0.2,0.1958539927043902,0.2025159823511076,0.192950861741718,0.1502123831053662,0.1910457912802064,0.5674199789001259,0.6788396835327148,0.2857142857142857,0.4037790167093001,0.3785592336443718
42,weather,DLinear,MTT,300,0.3,0.1958539927043902,0.1989616158912434,0.1885609567467824,0.1473980225981138,0.1671650640581236,0.5622888804477316,0.6761857867240906,0.1904761904761904,0.3533066051466008,0.3690776900766599
42,weather,DLinear,MTT,300,0.5,0.1958539927043902,0.2011964348364747,0.1790577800143977,0.1411415960980619,0.1194036201724721,0.5550308272299315,0.6870991587638855,0.1428571428571428,0.252361851757638,0.3489564088596496
