dataset,model,seed,epoch,val_loss,velocity_raw,velocity_smooth,velocity_norm,is_boundary
ETTh1,MLP,123,32,0.66749219,0.00152587,0.00051708,0.01138915,False
ETTh1,MLP,123,33,0.67055228,0.0,0.00051708,0.01138915,False
ETTh1,MLP,123,34,0.67051841,3.387e-05,0.00035469,0.00781239,False
ETTh1,MLP,123,35,0.67200027,0.0,0.00125739,0.02769493,False
ETTh1,MLP,123,36,0.67178654,0.00021373,0.00125739,0.02769493,False
ETTh1,MLP,123,37,0.66574719,0.00603936,0.00125062,0.02754571,False
ETTh1,MLP,123,38,0.66765293,0.0,0.00125062,0.02754571,False
ETTh1,MLP,123,39,0.66798441,0.0,0.00249539,0.05496266,False
ETTh1,MLP,123,40,0.6713336,0.0,0.00145133,0.03196654,False
ETTh1,MLP,123,41,0.66489601,0.00643759,0.00145133,0.03196654,False
ETTh1,MLP,123,42,0.66407695,0.00081906,0.00161605,0.03559457,False
ETTh1,MLP,123,43,0.66518848,0.0,0.00161605,0.03559457,False
ETTh1,MLP,123,44,0.66436489,0.00082359,0.001023,0.02253221,False
ETTh1,MLP,123,45,0.66910408,0.0,0.00085918,0.01892413,False
ETTh1,MLP,123,46,0.66563175,0.00347233,0.00085918,0.01892413,False
ETTh1,MLP,123,47,0.66587726,0.0,0.00079266,0.01745882,False
ETTh1,MLP,123,48,0.66742002,0.0,0.00118903,0.0261892,False
ETTh1,MLP,123,49,0.66692906,0.00049095,0.00049456,0.01089309,False
ETTh1,MLP,123,50,0.6649472,0.00198186,0.00049456,0.01089309,False
ETTh1,MLP,123,51,0.6660834,0.0,0.00123583,0.02722005,False
ETTh1,MLP,123,52,0.66634413,0.0,0.00113764,0.02505733,False
ETTh1,MLP,123,53,0.66263779,0.00370634,0.0007834,0.017255,False
ETTh1,MLP,123,54,0.66667447,0.0,0.00177857,0.0391742,False
ETTh1,MLP,123,55,0.6664638,0.00021067,0.00177857,0.0391742,False
ETTh1,MLP,123,56,0.66148797,0.00497583,0.0010373,0.02284725,False
ETTh1,MLP,123,57,0.66465339,0.0,0.00215194,0.04739792,False
ETTh1,MLP,123,58,0.66755637,0.0,0.0021098,0.04646987,False
ETTh1,MLP,123,59,0.66198318,0.00557319,0.00111464,0.02455067,False
ETTh1,MLP,123,60,0.66264229,0.0,0.00111464,0.02455067,False
ETTh1,MLP,123,61,0.66397259,0.0,0.0012226,0.02692857,False
ETTh1,MLP,123,62,0.66511899,0.0,0.00010796,0.0023779,False
ETTh1,MLP,123,63,0.66457919,0.0005398,0.00156598,0.03449182,False
ETTh1,MLP,123,64,0.66673948,0.0,0.00190444,0.04194657,False
ETTh1,MLP,123,65,0.65944938,0.0072901,0.00190444,0.04194657,False
ETTh1,MLP,123,66,0.65775709,0.00169228,0.00179648,0.03956866,False
ETTh1,MLP,123,67,0.66360322,0.0,0.00201,0.04427164,False
ETTh1,MLP,123,68,0.66567605,0.0,0.00116328,0.02562197,False
ETTh1,MLP,123,69,0.66460844,0.00106761,0.00082482,0.01816722,False
ETTh1,MLP,123,70,0.66155195,0.00305649,0.00122206,0.02691678,False
ETTh1,MLP,123,71,0.66168715,0.0,0.00122206,0.02691678,False
ETTh1,MLP,123,72,0.65970093,0.00198622,0.00100854,0.0222138,False
ETTh1,MLP,123,73,0.66056697,0.0,0.00141077,0.03107323,False
ETTh1,MLP,123,74,0.66413949,0.0,0.00141077,0.03107323,False
ETTh1,MLP,123,75,0.65907184,0.00506764,0.00105537,0.0232452,False
ETTh1,MLP,123,76,0.66024902,0.0,0.00124863,0.02750203,False
ETTh1,MLP,123,77,0.66003983,0.00020919,0.00124863,0.02750203,False
ETTh1,MLP,123,78,0.6590735,0.00096633,0.00023511,0.00517835,False
ETTh1,MLP,123,79,0.66279892,0.0,0.00029388,0.00647294,False
ETTh1,MLP,123,80,0.66340902,0.0,0.00032211,0.00709471,False
