dataset,expert_model,student_model,seed,method,phase_boundary,student_lr,synthetic_lr,n_distill_steps,real_mse,transfer_mse,mse_ratio,n_pairs_available,notes
ETTh2,CNN,MLP,123,phase_aware_mtt,8,0.01,5.0,1000,0.3021977074035999,0.3903412443945181,1.2916750684451692,81,
ETTh2,MLP,DLinear,7,param_mtt,,0.01,5.0,1000,0.30349656600997804,0.34206922949303153,1.127094233684955,81,
ETTh2,MLP,DLinear,7,phase_aware_mtt,15,0.01,5.0,1000,0.30349656600997804,0.3076527423936913,1.0136943110703156,81,
ETTh2,MLP,CNN,7,param_mtt,,0.01,5.0,1000,0.3212526216765413,3.953648509263401,12.306976636113495,81,
ETTh2,MLP,CNN,7,phase_aware_mtt,15,0.01,5.0,1000,0.3212526216765413,0.4175842061474495,1.2998624072487768,81,
ETTh2,MLP,MLP,7,param_mtt,,0.01,5.0,1000,0.3021977074035999,3.459698550509746,11.448460612870065,81,
ETTh2,MLP,MLP,7,phase_aware_mtt,15,0.01,5.0,1000,0.3021977074035999,1.2385995776651049,4.09863988812759,81,
ETTh2,MLP,DLinear,42,param_mtt,,0.01,5.0,1000,0.30349656600997804,0.35659444804394197,1.1749538149048389,81,
ETTh2,MLP,DLinear,42,phase_aware_mtt,17,0.01,5.0,1000,0.30349656600997804,0.36943630320990994,1.2172668312753299,81,
ETTh2,MLP,CNN,42,param_mtt,,0.01,5.0,1000,0.3212526216765413,0.3920982816478804,1.2205294375548204,81,
ETTh2,MLP,CNN,42,phase_aware_mtt,17,0.01,5.0,1000,0.3212526216765413,0.3827402244177172,1.1913995360420304,81,
ETTh2,MLP,MLP,42,param_mtt,,0.01,5.0,1000,0.3021977074035999,0.3843230656867375,1.2717603617470703,81,
ETTh2,MLP,MLP,42,phase_aware_mtt,17,0.01,5.0,1000,0.3021977074035999,0.38491975930732386,1.2737348758018359,81,
ETTh2,MLP,DLinear,123,param_mtt,,0.01,5.0,1000,0.30349656600997804,1.1149888498391556,3.673810430535475,81,
ETTh2,MLP,DLinear,123,phase_aware_mtt,13,0.01,5.0,1000,0.30349656600997804,0.3911594511454275,1.2888430873796686,81,
ETTh2,MLP,CNN,123,param_mtt,,0.01,5.0,1000,0.3212526216765413,1.545037034341206,4.8094145544339035,81,
ETTh2,MLP,CNN,123,phase_aware_mtt,13,0.01,5.0,1000,0.3212526216765413,0.44660999956544345,1.390214334235443,81,
ETTh2,MLP,MLP,123,param_mtt,,0.01,5.0,1000,0.3021977074035999,1.857307994562387,6.146002928082643,81,
ETTh2,MLP,MLP,123,phase_aware_mtt,13,0.01,5.0,1000,0.3021977074035999,0.5220697552890586,1.7275768230491861,81,
ETTm1,DLinear,DLinear,7,param_mtt,,0.01,5.0,1000,0.34526968338495245,0.3514267606646788,1.0178326611805695,81,
ETTm1,DLinear,DLinear,7,phase_aware_mtt,8,0.01,5.0,1000,0.34526968338495245,0.3525794872587219,1.0211712879106722,81,
ETTm1,DLinear,CNN,7,param_mtt,,0.01,5.0,1000,0.3420424103873514,0.38096837293086877,1.1138044913770635,81,
ETTm1,DLinear,CNN,7,phase_aware_mtt,8,0.01,5.0,1000,0.3420424103873514,0.40280632172970393,1.1776502255189334,81,
ETTm1,DLinear,MLP,7,param_mtt,,0.01,5.0,1000,0.3418640656961654,0.47876722920918524,1.4004608183496352,81,
ETTm1,DLinear,MLP,7,phase_aware_mtt,8,0.01,5.0,1000,0.3418640656961654,0.4483022329108447,1.3113464616350674,81,
ETTm1,DLinear,DLinear,42,param_mtt,,0.01,5.0,1000,0.34526968338495245,0.3828325370511525,1.108792794368569,81,
ETTm1,DLinear,DLinear,42,phase_aware_mtt,8,0.01,5.0,1000,0.34526968338495245,0.3652865769563273,1.0579746630956226,81,
ETTm1,DLinear,CNN,42,param_mtt,,0.01,5.0,1000,0.3420424103873514,0.42060865066840747,1.229697364698379,81,
ETTm1,DLinear,CNN,42,phase_aware_mtt,8,0.01,5.0,1000,0.3420424103873514,1.1510202569892982,3.3651390062589224,81,
ETTm1,DLinear,MLP,42,param_mtt,,0.01,5.0,1000,0.3418640656961654,0.7832496291408318,2.2911142402341627,81,
ETTm1,DLinear,MLP,42,phase_aware_mtt,8,0.01,5.0,1000,0.3418640656961654,0.7290362056061614,2.1325324266578476,81,
ETTm1,DLinear,DLinear,123,param_mtt,,0.01,5.0,1000,0.34526968338495245,0.3620177625862027,1.0485072394339856,81,
ETTm1,DLinear,DLinear,123,phase_aware_mtt,4,0.01,5.0,1000,0.34526968338495245,0.3594443528607722,1.0410539070122062,81,
ETTm1,DLinear,CNN,123,param_mtt,,0.01,5.0,1000,0.3420424103873514,0.4018100449730111,1.1747374967857784,81,
ETTm1,DLinear,CNN,123,phase_aware_mtt,4,0.01,5.0,1000,0.3420424103873514,0.4565926069446662,1.33490056518895,81,
ETTm1,DLinear,MLP,123,param_mtt,,0.01,5.0,1000,0.3418640656961654,0.47132408903677836,1.3786885968169338,81,
ETTm1,DLinear,MLP,123,phase_aware_mtt,4,0.01,5.0,1000,0.3418640656961654,0.4820298777384796,1.4100045196528137,81,
ETTm1,CNN,DLinear,7,param_mtt,,0.01,5.0,1000,0.34526968338495245,0.45185123376427955,1.3086907293290961,81,
ETTm1,CNN,DLinear,7,phase_aware_mtt,7,0.01,5.0,1000,0.34526968338495245,0.4796993512899612,1.389346862391995,81,
ETTm1,CNN,CNN,7,param_mtt,,0.01,5.0,1000,0.3420424103873514,0.8188211814281754,2.393917118350582,81,
ETTm1,CNN,CNN,7,phase_aware_mtt,7,0.01,5.0,1000,0.3420424103873514,0.6700071227596466,1.958842244155882,81,
ETTm1,CNN,MLP,7,param_mtt,,0.01,5.0,1000,0.3418640656961654,1.1595710678792215,3.3919068549012112,81,
ETTm1,CNN,MLP,7,phase_aware_mtt,7,0.01,5.0,1000,0.3418640656961654,1.135978126521904,3.3228942158884704,81,
ETTm1,CNN,DLinear,42,param_mtt,,0.01,5.0,1000,0.34526968338495245,0.36434365053307055,1.0552436778147471,81,
ETTm1,CNN,DLinear,42,phase_aware_mtt,6,0.01,5.0,1000,0.34526968338495245,0.3455350593091101,1.0007686047658628,81,
ETTm1,CNN,CNN,42,param_mtt,,0.01,5.0,1000,0.3420424103873514,0.3842280616995766,1.123334563291293,81,
ETTm1,CNN,CNN,42,phase_aware_mtt,6,0.01,5.0,1000,0.3420424103873514,0.38322855322115296,1.1204123862510489,81,
ETTm1,CNN,MLP,42,param_mtt,,0.01,5.0,1000,0.3418640656961654,0.45638617688670213,1.334993123530916,81,
ETTm1,CNN,MLP,42,phase_aware_mtt,6,0.01,5.0,1000,0.3418640656961654,0.5434954301806878,1.5897998202119434,81,
ETTm1,CNN,DLinear,123,param_mtt,,0.01,5.0,1000,0.34526968338495245,0.3912480857092303,1.1331666362175652,81,
ETTm1,CNN,DLinear,123,phase_aware_mtt,8,0.01,5.0,1000,0.34526968338495245,0.3575493496821003,1.0355654344649101,81,
ETTm1,CNN,CNN,123,param_mtt,,0.01,5.0,1000,0.3420424103873514,0.39489819511369056,1.1545299153589808,81,
ETTm1,CNN,CNN,123,phase_aware_mtt,8,0.01,5.0,1000,0.3420424103873514,0.3742709179655939,1.094223717876812,81,
ETTm1,CNN,MLP,123,param_mtt,,0.01,5.0,1000,0.3418640656961654,0.5277949010271249,1.5438735859890202,81,
ETTm1,CNN,MLP,123,phase_aware_mtt,8,0.01,5.0,1000,0.3418640656961654,0.4204563196139918,1.2298932874321924,81,
ETTm1,MLP,DLinear,7,param_mtt,,0.01,5.0,1000,0.34526968338495245,0.5268005876460646,1.525765547908582,81,
ETTm1,MLP,DLinear,7,phase_aware_mtt,6,0.01,5.0,1000,0.34526968338495245,0.4411601263465416,1.2777262168560504,81,
ETTm1,MLP,CNN,7,param_mtt,,0.01,5.0,1000,0.3420424103873514,0.6542730740953314,1.9128419582659046,81,
ETTm1,MLP,CNN,7,phase_aware_mtt,6,0.01,5.0,1000,0.3420424103873514,0.5839010107516001,1.7071012044686273,81,
ETTm1,MLP,MLP,7,param_mtt,,0.01,5.0,1000,0.3418640656961654,0.632447346072899,1.8499965616011598,81,
ETTm1,MLP,MLP,7,phase_aware_mtt,6,0.01,5.0,1000,0.3418640656961654,0.5741971907238544,1.6796067453143118,81,
ETTm1,MLP,DLinear,42,param_mtt,,0.01,5.0,1000,0.34526968338495245,0.45261219930435154,1.3108947037198149,81,
ETTm1,MLP,DLinear,42,phase_aware_mtt,9,0.01,5.0,1000,0.34526968338495245,0.6550648777572092,1.8972557084511124,81,
ETTm1,MLP,CNN,42,param_mtt,,0.01,5.0,1000,0.3420424103873514,0.49791811058642255,1.4557203886574979,81,
ETTm1,MLP,CNN,42,phase_aware_mtt,9,0.01,5.0,1000,0.3420424103873514,0.7124710687508344,2.082990433683312,81,
ETTm1,MLP,MLP,42,param_mtt,,0.01,5.0,1000,0.3418640656961654,0.8089995539256704,2.3664363561529616,81,
ETTm1,MLP,MLP,42,phase_aware_mtt,9,0.01,5.0,1000,0.3418640656961654,0.9556181933828427,2.7953162946121295,81,
ETTm1,MLP,DLinear,123,param_mtt,,0.01,5.0,1000,0.34526968338495245,0.479147570688451,1.38774874756158,81,
ETTm1,MLP,DLinear,123,phase_aware_mtt,9,0.01,5.0,1000,0.34526968338495245,0.37757628396139475,1.0935691783295745,81,
