dataset,model,seed,epoch,val_loss_raw,val_loss_smooth,is_boundary
ETTh1,DLinear,123,18,0.66338107,0.66028914,False
ETTh1,DLinear,123,19,0.6594934,0.65980625,False
ETTh1,DLinear,123,20,0.65805199,0.65998543,False
ETTh1,DLinear,123,21,0.65983773,0.65900345,False
ETTh1,DLinear,123,22,0.65916295,0.65891016,False
ETTh1,DLinear,123,23,0.65847119,0.65909642,False
ETTh1,DLinear,123,24,0.65902692,0.65895284,False
ETTh1,DLinear,123,25,0.65898329,0.6588286,False
ETTh1,DLinear,123,26,0.65911984,0.65860903,False
ETTh1,DLinear,123,27,0.65854177,0.65817458,False
ETTh1,DLinear,123,28,0.65737335,0.65790365,False
ETTh1,DLinear,123,29,0.65685467,0.65677884,False
ETTh1,DLinear,123,30,0.65762864,0.65707665,False
ETTh1,DLinear,123,31,0.65349578,0.6577786,False
ETTh1,DLinear,123,32,0.66003083,0.65821277,False
ETTh1,DLinear,123,33,0.66088311,0.65833729,False
ETTh1,DLinear,123,34,0.65902552,0.65913642,False
ETTh1,DLinear,123,35,0.65825122,0.65832217,False
ETTh1,DLinear,123,36,0.65749143,0.6578089,False
ETTh1,DLinear,123,37,0.65595959,0.6573979,False
ETTh1,DLinear,123,38,0.65831675,0.65741014,False
ETTh1,DLinear,123,39,0.6569705,0.65758982,False
ETTh1,DLinear,123,40,0.65831246,0.65821551,False
ETTh1,DLinear,123,41,0.65838979,0.65856573,False
ETTh1,DLinear,123,42,0.65908805,0.65789224,False
ETTh1,DLinear,123,43,0.66006783,0.65797947,False
ETTh1,DLinear,123,44,0.65360308,0.65773473,False
ETTh1,DLinear,123,45,0.65874861,0.65750476,False
ETTh1,DLinear,123,46,0.65716609,0.65733226,False
ETTh1,DLinear,123,47,0.65793816,0.65867858,False
ETTh1,DLinear,123,48,0.65920534,0.65813635,False
ETTh1,DLinear,123,49,0.6603347,0.65828671,False
ETTh1,DLinear,123,50,0.65603743,0.65809701,False
ETTh1,DLinear,123,51,0.6579179,0.65780672,False
ETTh1,DLinear,123,52,0.65698966,0.65705456,False
ETTh1,DLinear,123,53,0.65775392,0.65686623,False
ETTh1,DLinear,123,54,0.65657391,0.65680637,False
ETTh1,DLinear,123,55,0.65509576,0.65614765,False
ETTh1,DLinear,123,56,0.6576186,0.6563065,False
ETTh1,DLinear,123,57,0.65369605,0.65645269,False
ETTh1,DLinear,123,58,0.65854816,0.65716223,False
ETTh1,DLinear,123,59,0.6573049,0.65703887,False
ETTh1,DLinear,123,60,0.65864344,0.65685306,False
ETTh1,DLinear,123,61,0.65700182,0.65679684,False
ETTh1,DLinear,123,62,0.65276696,0.65662083,False
ETTh1,DLinear,123,63,0.6582671,0.6571132,False
ETTh1,DLinear,123,64,0.65642483,0.65693454,False
ETTh1,DLinear,123,65,0.66110529,0.65831901,False
ETTh1,DLinear,123,66,0.65610853,0.65798343,False
ETTh1,DLinear,123,67,0.65968929,0.65867004,False
ETTh1,DLinear,123,68,0.65658919,0.65851169,False
ETTh1,DLinear,123,69,0.65985788,0.65827613,False
ETTh1,DLinear,123,70,0.66031356,0.65828427,False
ETTh1,DLinear,123,71,0.65493073,0.65799028,False
ETTh1,DLinear,123,72,0.65973001,0.65690755,False
ETTh1,DLinear,123,73,0.65511925,0.65638119,False
ETTh1,DLinear,123,74,0.6544442,0.65638482,False
ETTh1,DLinear,123,75,0.65768175,0.65584003,False
ETTh1,DLinear,123,76,0.65494887,0.65656344,False
ETTh1,DLinear,123,77,0.65700609,0.65751948,False
ETTh1,DLinear,123,78,0.65873627,0.656876,False
ETTh1,DLinear,123,79,0.65922442,0.65735778,False
ETTh1,DLinear,123,80,0.65446435,0.65747502,False
ETTh1,MLP,7,1,0.95796577,0.84807084,False
ETTh1,MLP,7,2,0.82419061,0.81899873,False
ETTh1,MLP,7,3,0.76205613,0.79980009,False
ETTh1,MLP,7,4,0.73178239,0.74900906,False
ETTh1,MLP,7,5,0.72300554,0.72410209,False
ETTh1,MLP,7,6,0.70401062,0.70983634,False
ETTh1,MLP,7,7,0.69965576,0.700705,False
ETTh1,MLP,7,8,0.6907274,0.69342705,False
ETTh1,MLP,7,9,0.68612567,0.68946927,False
ETTh1,MLP,7,10,0.68661583,0.68490976,False
ETTh1,MLP,7,11,0.68422171,0.68253204,False
ETTh1,MLP,7,12,0.67685818,0.68062948,False
ETTh1,MLP,7,13,0.67883883,0.67824902,False
ETTh1,MLP,7,14,0.67661285,0.67614596,True
ETTh1,MLP,7,15,0.67471353,0.67605798,False
ETTh1,MLP,7,16,0.67370639,0.6758364,False
ETTh1,MLP,7,17,0.67641829,0.67492224,False
ETTh1,MLP,7,18,0.67773094,0.67460901,False
ETTh1,MLP,7,19,0.67204203,0.67439973,False
ETTh1,MLP,7,20,0.6731474,0.6733919,False
ETTh1,MLP,7,21,0.67265999,0.67144969,False
ETTh1,MLP,7,22,0.67137915,0.67065042,False
ETTh1,MLP,7,23,0.66801988,0.66981544,False
ETTh1,MLP,7,24,0.66804569,0.66878781,False
ETTh1,MLP,7,25,0.66897249,0.66805713,False
ETTh1,MLP,7,26,0.66752185,0.66783382,False
ETTh1,MLP,7,27,0.66772574,0.66770785,False
ETTh1,MLP,7,28,0.6669033,0.66710815,False
ETTh1,MLP,7,29,0.66741587,0.66682185,False
ETTh1,MLP,7,30,0.66597399,0.66691848,False
ETTh1,MLP,7,31,0.66609032,0.66599779,False
ETTh1,MLP,7,32,0.66820894,0.66515046,False
ETTh1,MLP,7,33,0.66229982,0.66447652,False
ETTh1,MLP,7,34,0.66317924,0.66386438,False
ETTh1,MLP,7,35,0.66260427,0.66223509,False
ETTh1,MLP,7,36,0.66302962,0.66274751,False
ETTh1,MLP,7,37,0.66006249,0.66329204,False
ETTh1,MLP,7,38,0.66486192,0.6632714,False
ETTh1,MLP,7,39,0.6659019,0.66326787,False
ETTh1,MLP,7,40,0.66250106,0.66319972,False
ETTh1,MLP,7,41,0.66301196,0.66299167,False
ETTh1,MLP,7,42,0.65972174,0.66227595,False
ETTh1,MLP,7,43,0.66382166,0.66273568,False
ETTh1,MLP,7,44,0.66232333,0.66252728,False
ETTh1,MLP,7,45,0.66479972,0.66272971,False
ETTh1,MLP,7,46,0.66196996,0.66211795,False
ETTh1,MLP,7,47,0.66073387,0.66175777,False
ETTh1,MLP,7,48,0.6607629,0.66059892,False
ETTh1,MLP,7,49,0.66052241,0.65960204,False
ETTh1,MLP,7,50,0.65900548,0.66030615,False
ETTh1,MLP,7,51,0.65698557,0.66000843,False
ETTh1,MLP,7,52,0.66425439,0.66017684,False
