dataset,model,seed,epoch,train_loss,val_loss,param_movement_raw,param_movement_smooth,segment_id,is_boundary
ETTh1,MLP,7,59,0.34594832,0.65508705,0.0615692,0.06224177,1,False
ETTh1,MLP,7,60,0.34618898,0.65609728,0.06194512,0.06144444,1,False
ETTh1,MLP,7,61,0.34550491,0.65786907,0.06155948,0.06243001,1,False
ETTh1,MLP,7,62,0.34778592,0.65796728,0.06015177,0.06207953,1,False
ETTh1,MLP,7,63,0.34541183,0.65623049,0.06692446,0.0616829,1,False
ETTh1,MLP,7,64,0.34447543,0.65902966,0.05981681,0.06153199,1,False
ETTh1,MLP,7,65,0.34502093,0.65463042,0.05996195,0.06126472,1,False
ETTh1,MLP,7,66,0.34434089,0.65792207,0.06080493,0.05962391,1,False
ETTh1,MLP,7,67,0.34405507,0.65751574,0.05881547,0.06039027,1,False
ETTh1,MLP,7,68,0.34435655,0.6607458,0.05872039,0.06118373,1,False
ETTh1,MLP,7,69,0.34463656,0.65633093,0.06364858,0.06132802,1,False
ETTh1,MLP,7,70,0.34353854,0.65464244,0.06392927,0.06176013,1,False
ETTh1,MLP,7,71,0.34410322,0.65544447,0.06152637,0.06373135,1,False
ETTh1,MLP,7,72,0.34382266,0.65325178,0.06097604,0.06403078,1,False
ETTh1,MLP,7,73,0.34315152,0.66342427,0.06857649,0.06425416,1,False
ETTh1,MLP,7,74,0.34325578,0.65375727,0.06514573,0.06311992,1,False
ETTh1,MLP,7,75,0.34331532,0.66000486,0.06504617,0.0655252,1,False
ETTh1,MLP,7,76,0.34641276,0.6582352,0.05585516,0.06334199,1,False
ETTh1,MLP,7,77,0.34288249,0.66149299,0.07300246,0.0630476,1,False
ETTh1,MLP,7,78,0.34350207,0.65884091,0.05766043,0.06322019,1,False
ETTh1,MLP,7,79,0.34352621,0.65160696,0.06367377,0.06506145,1,False
ETTh1,MLP,7,80,0.34403452,0.65633091,0.06590915,0.06241445,1,False
ETTh1,CNN,7,1,0.68044512,0.8985989,1.81837805,1.06954899,0,False
ETTh1,CNN,7,2,0.44099508,0.76463419,0.87408851,0.89803139,0,False
ETTh1,CNN,7,3,0.40787528,0.72612516,0.5161804,0.77689174,0,False
ETTh1,CNN,7,4,0.39273619,0.71354577,0.38347858,0.46002752,0,False
ETTh1,CNN,7,5,0.37934005,0.70032726,0.29233317,0.32460717,0,False
ETTh1,CNN,7,6,0.37426459,0.69203704,0.23405691,0.25516021,0,False
ETTh1,CNN,7,7,0.3708176,0.68469081,0.19698679,0.20799844,0,False
ETTh1,CNN,7,8,0.36844308,0.68260654,0.1689456,0.17651284,0,False
ETTh1,CNN,7,9,0.36718725,0.68062986,0.14766972,0.15676504,0,False
ETTh1,CNN,7,10,0.36542956,0.67983288,0.13490515,0.1419036,0,False
ETTh1,CNN,7,11,0.36504772,0.67637637,0.13531796,0.13039057,0,False
ETTh1,CNN,7,12,0.36361174,0.6755143,0.12267958,0.12234729,1,True
ETTh1,CNN,7,13,0.36549667,0.66751649,0.11138041,0.11695129,1,False
ETTh1,CNN,7,14,0.36301546,0.66994087,0.10745333,0.11072026,1,False
ETTh1,CNN,7,15,0.36068569,0.66397578,0.10792514,0.10557776,1,False
ETTh1,CNN,7,16,0.36021323,0.67172891,0.10416281,0.10262004,1,False
